gene,all-related_score,abeta-related_score,tau-related_score,CERAD_score,BRAAK_score,PLAQUES_score,TANGLES_score,ABETA_IHC_score,TAU_IHC_score
LTF,0.9951206464032288,0.9936445460858632,0.9965967467205942,0.9813014474853932,0.9985837308885108,0.9997909866380748,0.9973540808501687,0.9998412041341216,0.9938524284231032
GFAP,0.994333227017014,0.9914806696570968,0.9971857843769308,0.9867799048582044,0.9970039156074632,0.9981426312610708,0.9981942059867404,0.9895194728520156,0.9963592315365888
PLCE1,0.9917454425360296,0.9870572321111488,0.9964336529609104,0.982738753656038,0.9951628336240071,0.9884011156427508,0.9962187582706192,0.9900318270346576,0.9979193669881048
FPR3,0.9899802523089876,0.9804072593688438,0.9995532452491308,0.978097028345742,0.9994618584545224,0.9728533716976911,0.9996233687796472,0.9902713780630981,0.999574508513223
C4B,0.9890631043913172,0.9910549519653822,0.987071256817252,0.984019299805238,0.9935986264836224,0.9973852971314956,0.9919360201955778,0.9917602589594132,0.9756791237725558
ZNF98,0.9840095729929406,0.97605168330404,0.9919674626818412,0.9335357867520819,0.9800561893063884,0.9988110668503452,0.9969971294593482,0.9958081963096932,0.9988490692797868
NPNT,0.9838666114726629,0.9716434014888816,0.996089821456444,0.9484578478409874,0.9943064217319616,0.982953874551267,0.997122673199466,0.9835184820743904,0.996840369437904
SLC28A2,0.9811216145603598,0.9777360052660512,0.9845072238546684,0.957476638685116,0.9766359706566964,0.990499392639744,0.9804497858970274,0.9852319844732936,0.9964359150102816
EFHB,0.9787167167710606,0.9598877571101871,0.997545676431934,0.9523137371996282,0.9990648687898268,0.9662328055972158,0.9984588657632046,0.961116728533718,0.9951132947427708
KNSTRN,0.978502387593112,0.9748679528679396,0.9821368223182844,0.964855217529978,0.9824103040872976,0.9884269030055856,0.9831988544981988,0.9713217380682556,0.9808013083693568
HIST1H3D,0.9757290019611972,0.956731519622148,0.9947264843002468,0.9623436641128132,0.9904844631138928,0.9371948778154041,0.9942175231916616,0.9706560169382262,0.9994774665951862
SLC22A1,0.9755091307622886,0.9570473017144078,0.9939709598101693,0.945917792601742,0.9853724577392634,0.9590578111957878,0.9979831567803802,0.9661663013456931,0.9985572649108644
TREM2,0.9754876412932596,0.9705139602376968,0.9804613223488222,0.9505615537564728,0.9808474541765354,0.9847345598165036,0.9809892846721284,0.9762457671401136,0.9795472281978028
MSR1,0.9751720854059368,0.9657507628761514,0.9845934079357224,0.910984737952891,0.9841903107377236,0.9942758840654468,0.9819787050672174,0.991991666610116,0.9876112080022263
SPX,0.9740743128459528,0.9574427079445442,0.9907059177473616,0.9465332962357242,0.9896606247327964,0.9567009819556328,0.992745607665634,0.969093845642276,0.9897115208436544
CAPG,0.9727989694103072,0.9652166930195422,0.9803812458010718,0.9763020921694644,0.9661099763163437,0.9839921552127804,0.9829179079662602,0.9353558316763821,0.9921158531206116
NLRP2,0.97026061070809,0.9869072582378188,0.9536139631783608,0.9812831248854844,0.9556742377459134,0.9992915261368496,0.9377174112202176,0.980147123691122,0.9674502405689516
HRASLS5,0.9701402696815268,0.9680840668028426,0.9721964725602108,0.962139401054568,0.954680067047144,0.9845167244620286,0.9691013104052012,0.9575960748919315,0.9928080402282868
ARSE,0.9695244267401386,0.9545264738948196,0.9845223795854576,0.9416445551340608,0.9773817683344762,0.9468203503009659,0.9889155056698278,0.975114516249432,0.9872698647520692
PAXIP1,0.9695242005352012,0.9643136829104436,0.9747347181599588,0.9219749048242724,0.9613013117624308,0.9873770858922774,0.9753242082261692,0.9835890580147812,0.9875786344912768
GDPD2,0.96815645238273,0.9601153192769591,0.9761975854885012,0.9012086129791872,0.9791197008665914,0.9888218568258472,0.9805217190670408,0.9903154880258423,0.9689513365318716
APOC1,0.9680364506635724,0.9852301748337968,0.9508427264933484,0.975147089760382,0.9642736446365684,0.9967331482976958,0.9433295557108828,0.9838102864433124,0.9449249791325944
SLC34A3,0.9673199465251532,0.980427844018124,0.9542120490321828,0.976753371019076,0.9239903908142704,0.96690599149017,0.9554726891469136,0.9976241695451252,0.983173067135364
SLC37A2,0.9663472652954128,0.9599669288381896,0.9727276017526364,0.9861141837281752,0.9548999382460528,0.971099152410101,0.9736941754490734,0.9226874503762924,0.9895886915627828
SIGLEC1,0.9660162143698954,0.978722032587084,0.9533103961527069,0.9740945581878276,0.9334143147008329,0.993638664757498,0.9398754063206192,0.9684328748159258,0.9866414674366686
SERPINA3,0.9657876342809064,0.97624531473024,0.9553299538315728,0.9441079268996132,0.9619989277885986,0.994889351854994,0.9537361138444209,0.9897386654361124,0.9502548198616988
PADI2,0.9656925151048352,0.9523791104264648,0.9790059197832056,0.984964610237584,0.9680053474847145,0.9945167923235102,0.9811304365529088,0.8776559287183004,0.9878819753119938
EPHA8,0.96242962198893,0.9449659222262188,0.9798933217516412,0.8928392565096128,0.9855807924863776,0.9613257418956423,0.9877197863720584,0.9807327682734008,0.9663793863964876
ACSM5,0.9623026079167206,0.944285723980212,0.9803194918532296,0.89729843443563,0.984502473550988,0.95016184963253,0.983246357535,0.9853968878724756,0.9732096444737002
MS4A7,0.96061986938927,0.9686165532248916,0.952623185553648,0.9292686568177044,0.9791916340366053,0.9883101812580172,0.9688447940064742,0.9882708215989532,0.9098331286178652
CD84,0.9599790308023268,0.9616175462645652,0.958340515340088,0.9737240345007774,0.9443732652908884,0.9471040112921508,0.9521691922447904,0.9640245930007674,0.9784790884845856
GYG2,0.9594948391343592,0.9500587001811908,0.9689309780875279,0.9369288608093164,0.9820899978962946,0.9599495110580292,0.9836128095331818,0.9532977286762264,0.9410901268331076
FSBP,0.9592106126308318,0.9427423276940448,0.9756788975676188,0.9780793843606436,0.9506511309115834,0.9898933896131228,0.9826736066341388,0.8602542091083679,0.9937119551571344
GABBR1,0.9587760729465686,0.9461903695510064,0.9713617763421312,0.8790579469187496,0.9667879125129792,0.9761297240073572,0.9713834920160972,0.9833834377269128,0.9759139244973166
ABCA6,0.95851175247751,0.945032652682678,0.971990852272342,0.8714086007641206,0.9806906941550908,0.9750167957165842,0.9766576863306624,0.9886725615673292,0.9586241763312731
GYPC,0.9570385928243272,0.9659762891984888,0.948100896450166,0.9604007899076414,0.9256190663617422,0.9822637232880252,0.94686446026371,0.9552643543997992,0.9718191627250459
CAB39L,0.9569012864274781,0.9575347733539638,0.9562677995009924,0.9758426699421148,0.9161917494011224,0.9825731716420448,0.9576415420842976,0.9141884784777314,0.9949701070175572
LPIN1,0.956547728110714,0.9314128534169388,0.9816826028044896,0.8960389253455846,0.9691827441825748,0.9298923038294236,0.986946165487009,0.9683073310758088,0.9889188987438844
SPDYA,0.9561508515484866,0.9392289126102472,0.973072790486726,0.9520178611418382,0.9468902476265448,0.9935904831058852,0.9851139054961028,0.8720783935830184,0.9872142183375302
CMTM4,0.9555370444515322,0.9626223485953808,0.9484517403076841,0.9564858610604036,0.9463996091178684,0.9862838374310364,0.9411769895289736,0.9450973472947016,0.9577786222762096
ECHDC3,0.9544942396912762,0.923086249680486,0.9859022297020664,0.8134413235703291,0.9814860307141072,0.9894380390746416,0.9875725269579746,0.9663793863964876,0.9886481314341172
P2RY11,0.9544001384374221,0.9145212259402776,0.994279050934566,0.8240555378361691,0.999175483004092,0.9212338574501732,0.9992066992854192,0.998274282534491,0.9844549705141876
DND1,0.9542417949814178,0.9261248606012078,0.9823587293616276,0.9189530330689004,0.9696713468468168,0.8958930231611236,0.9853907803391724,0.9635285255735996,0.9920140608988938
ITGAX,0.9541834341076334,0.9749903297389376,0.9333765384763292,0.9734634464131824,0.8971206373550312,0.9908034120752729,0.9158015458845408,0.9607041307283576,0.9872074321894158
ENPP1,0.9534273441052128,0.958499537410904,0.9483551507995216,0.9431558303191528,0.9361233450281292,0.9782442877598256,0.9352099294919216,0.9540984941537334,0.9737321778785142
SLC25A18,0.953133843199262,0.9290861094334248,0.9771815769650994,0.8635230966551078,0.9601985626938296,0.961773627671198,0.9826071023826172,0.9619616039739686,0.9887390658188516
